id,name,symbol,slug,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated,identifier,CP_3m,CP_1y,CP_4y,WI_3m,WI_1y,WI_5y,GC_3m,GC_1y,GC_5y
1,Bitcoin,BTC,bitcoin,2013-04-28,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19039825.0,19039825,N/A,1,,,2022-05-14T17:16:00.000Z,29346.641482578594,29574714421.496826,-33.0598,1.77266974,-2.74727655,-18.33097405,-26.53905756,-25.00286341,-30.46826001,558754918166.037,44.4592,616279471134.15,2022-05-14T17:16:00.000Z,bitcoin-BTC,1.0,-2.0,71.0,32.9974,89.085,374.405,11.647,104.639,718.946
1027,Ethereum,ETH,ethereum,2015-08-07,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,120776376.249,120776376.249,N/A,2,,,2022-05-14T17:15:00.000Z,2010.9262738487175,17011830186.56832,-35.4478,2.46428772,-3.04818996,-25.13139697,-33.34805851,-22.5100328,-30.14262461,242872388259.35233,19.3069,242872388259.35,2022-05-14T17:15:00.000Z,ethereum-ETH,4.0,-4.0,108.0,48.0374,130.26,541.301,4.006,114.312,793.019
825,Tether,USDT,tether,2015-02-25,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,76708151375.18758,79713622671.19226,Ethereum,3,,,2022-05-14T17:15:00.000Z,0.9986585621555016,61896266611.88842,-31.4447,0.02800458,-0.02208436,-0.11997895,-0.15963557,-0.15879972,-0.1829708,76605252157.95139,6.0954,79606691801.02,2022-05-14T17:15:00.000Z,tether-USDT,0.0,0.0,0.0,0.355711,0.189178,0.128958,0.437,66.996,467.322
3408,USD Coin,USDC,usd-coin,2018-10-08,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,50934565609.551636,50934565609.551636,Ethereum,4,,,2022-05-14T17:15:00.000Z,1.0001812025460883,5826111807.541774,-35.1938,0.04210651,-0.02766299,0.00037289,0.01785158,0.07114856,0.11483712,50943795082.52399,4.0535,50943795082.52,2022-05-14T17:15:00.000Z,usd//coin-USDC,0.0,0.0,0.0,-0.0838,-0.2274,-1.0457,0.144,66.097,459.549
1839,BNB,BNB,bnb,2017-07-25,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",165116760.0,163276974.63,163276974.63,N/A,5,,,2022-05-14T17:15:00.000Z,287.00742947094517,2028252639.070372,-30.3455,3.43851256,-2.9246574,-23.79167416,-30.71117598,-22.47943163,-28.00079432,46861704780.34903,3.7339,47389736850.17,2022-05-14T17:15:00.000Z,bnb-BNB,4.0,-6.0,111.0,20.1436,4.09821,-85.1147,31.062,-29.559,-100.0
5015,HEX,HEX,hex,2019-12-17,[],,173411074413.06497,633542658973,Ethereum,201,572170573415.0,75156685668.27182,2022-05-14T17:15:00.000Z,0.1313536367655176,13620743.37751316,-38.2633,1.43304208,-1.11670669,-31.28943931,14.45597081,21.68083494,-35.55906795,22778175279.571877,0.0,83218132302.2,2022-05-14T17:15:00.000Z,hex-HEX,34.0,11.0,130.0,78.3852,116.404,448.848,77.086,274.497,1000.0
52,XRP,XRP,xrp,2013-08-04,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,48343101197.0,99989535142,N/A,6,,,2022-05-14T17:16:00.000Z,0.4168234004229141,2084336780.3555994,-32.5738,3.25254632,-3.1178623,-29.92465172,-41.73122391,-45.34494749,-48.3058164,20150535827.92259,1.6033,41682340042.29,2022-05-14T17:16:00.000Z,xrp-XRP,44.0,30.0,117.0,36.8893,132.137,496.779,-4.832,190.337,1000.0
4687,Binance USD,BUSD,binance-usd,2019-09-20,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,17507983538.679256,17507983538.679256,BNB Beacon Chain (BEP2),7,,,2022-05-14T17:15:00.000Z,1.0007319392775358,11941927301.156656,24.262,-0.15606731,-0.14323147,0.19524735,-0.0581451,0.10081817,0.1879377,17520798319.501667,1.3941,17520798319.5,2022-05-14T17:15:00.000Z,binance usd-BUSD,0.0,0.0,0.0,-0.0711,-0.1263,-0.4982,0.391,99.731,639.56
2010,Cardano,ADA,cardano,2017-10-01,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33739028515.755,34277702081.605,N/A,8,,,2022-05-14T17:15:00.000Z,0.5179932908628733,1240884257.036837,-39.2401,5.2948188,-7.39195627,-33.22445234,-44.62864161,-35.58044213,-50.5332556,17476590411.392254,1.3895,23309698088.83,2022-05-14T17:15:00.000Z,cardano-ADA,48.0,25.0,159.0,96.9595,207.109,835.506,52.985,315.429,1000.0
5426,Solana,SOL,solana,2020-04-10,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,337322004.6041882,511616946.142289,N/A,9,,,2022-05-14T17:15:00.000Z,48.249418301438766,1972122975.2680104,-35.3318,4.22983846,-8.33216638,-40.81789831,-51.96381581,-40.98130875,-48.43032265,16275590502.42733,1.295,24685220044.52,2022-05-14T17:15:00.000Z,solana-SOL,11.0,-12.0,142.0,78.9394,158.031,538.57,95.452,538.364,1000.0
